10 sample budget per strata,,,,,,,,,,,,,,,
,SEBM*,SEBM,Ney,SECM,Simple,SECM-W,SEBM**,SEBM-W,Ney-W,Hoeffding,Audibert,Maurer,Burgess,Random,Simple-W
0.09 percentile,0.00181244944588,0.00195715919945,0.00179968343821,0.00201095143909,0.00295175983744,0.00203711817479,0.00195105293753,0.00214321028201,0.00205089432254,0.00204855603277,0.00197716643965,0.00204915265935,0.00208350815087,0.00248342203622,0.0031217187683
0.25 percentile,0.00531710694659,0.00551874425202,0.00513418137448,0.00561113899254,0.0083370221653,0.00590714931702,0.00579327577325,0.00601160251813,0.00572207687956,0.00590792248556,0.00580743977862,0.00588924949337,0.00597848454177,0.00688208349805,0.00863729366985
0.5 percentile,0.0115504377954,0.0119174479501,0.0111102040973,0.0118533480985,0.0177530734771,0.0126957428186,0.0119512053277,0.0124363175098,0.0116932754283,0.0123188066961,0.0126351819423,0.0125159072736,0.0128126936436,0.0144683105789,0.0187203946103
0.75 percentile,0.0201051577425,0.0205658595683,0.0199347862266,0.020836795705,0.0308982287404,0.0216502921928,0.0209721064657,0.0212232972856,0.0207321361345,0.0215342168159,0.0215678269509,0.0223133553934,0.0219542739196,0.0250518713876,0.032091144832
0.91 percentile,0.0304831012014,0.0320695729686,0.0301357850845,0.0320692998469,0.0467280196181,0.0339253899173,0.0319103845748,0.033180153486,0.0316086258607,0.0339059739931,0.0346573104751,0.0347450423664,0.0336397274961,0.0383944963878,0.0482844458999
50 sample budget per strata,,,,,,,,,,,,,,,
,SEBM*,SEBM,Ney,SECM,Simple,SECM-W,SEBM**,SEBM-W,Ney-W,Hoeffding,Audibert,Maurer,Burgess,Random,Simple-W
0.09 percentile,0.000647368817642,0.000696093596837,0.000619827119924,0.000715311645655,0.000957453116232,0.000873614811035,0.000910092361617,0.000951411349914,0.000887479040566,0.000966512003819,0.000939560847084,0.000923515948706,0.000880018992369,0.00100378500126,0.00132457947878
0.25 percentile,0.00178232045989,0.00187825937403,0.00170489542892,0.00187990367377,0.00265485705124,0.00256230207769,0.00250624851109,0.00260844954482,0.00247214781011,0.00267673077629,0.00256020151103,0.00260380941632,0.00265879716358,0.00292551330324,0.00382970607309
